iter	Passed	Remaining
0	62	80788
1	122	79730
2	184	79583
3	249	80762
4	321	83163
5	379	81752
6	429	79343
7	487	78767
8	546	78326
9	597	77054
10	653	76614
11	703	75511
12	730	72279
13	784	72103
14	834	71454
15	888	71340
16	944	71291
17	998	71112
18	1050	70827
19	1110	71071
20	1154	70340
21	1206	70057
22	1257	69820
23	1324	70395
24	1388	70805
25	1471	72112
26	1523	71839
27	1575	71580
28	1630	71480
29	1677	70999
30	1734	70992
31	1793	71078
32	1841	70686
33	1892	70460
34	1945	70302
35	1997	70149
36	2049	69976
37	2096	69639
38	2139	69165
39	2199	69283
40	2244	68921
41	2288	68542
42	2353	68793
43	2398	68455
44	2412	67273
45	2467	67266
46	2525	67329
47	2579	67273
48	2635	67295
49	2690	67257
50	2735	66998
51	2780	66736
52	2838	66780
53	2886	66599
54	2938	66528
55	2988	66386
56	3040	66299
57	3085	66062
58	3143	66123
59	3207	66298
60	3271	66453
61	3309	66077
62	3419	67146
63	3515	67898
64	3610	68600
65	3677	68751
66	3771	69413
67	3856	69866
68	3946	70405
69	4045	71090
70	4144	71744
71	4258	72632
72	4341	72979
73	4432	73434
74	4531	74009
75	4626	74505
76	4665	74096
77	4749	74410
78	4858	75083
79	4961	75665
80	5046	75951
81	5141	76376
82	5228	76661
83	5318	76988
84	5386	76995
85	5475	77295
86	5576	77748
87	5656	77911
88	5751	78260
89	5849	78645
90	5938	78897
91	6017	79006
92	6111	79316
93	6206	79624
94	6272	79563
95	6322	79296
96	6369	78994
97	6425	78815
98	6469	78484
99	6511	78136
100	6543	77674
101	6604	77569
102	6645	77228
103	6693	76977
104	6739	76696
105	6797	76569
106	6822	76072
107	6880	75940
108	6930	75728
109	6972	75429
110	7026	75267
111	7069	74988
112	7112	74710
113	7160	74497
114	7210	74295
115	7261	74114
116	7317	73989
117	7366	73790
118	7424	73688
119	7481	73564
120	7529	73366
121	7587	73259
122	7654	73246
123	7712	73148
124	7747	72830
125	7787	72562
126	7838	72394
127	7882	72170
128	7930	71986
129	7984	71864
130	8032	71682
131	8074	71445
132	8137	71405
133	8190	71267
134	8247	71173
135	8280	70873
136	8325	70678
137	8366	70447
138	8388	70069
139	8436	69905
140	8486	69754
141	8538	69633
142	8574	69378
143	8621	69209
144	8688	69205
145	8754	69198
146	8798	69010
147	8839	68803
148	8894	68707
149	8935	68503
150	8988	68397
151	9032	68221
152	9087	68125
153	9135	67984
154	9192	67903
155	9239	67755
156	9284	67593
157	9333	67461
158	9393	67408
159	9440	67261
160	9484	67100
161	9525	66911
162	9577	66804
163	9617	66620
164	9650	66385
165	9676	66104
166	9728	66004
167	9798	66022
168	9852	65934
169	9900	65809
170	9961	65766
171	10005	65616
172	10064	65563
173	10123	65508
174	10170	65380
175	10220	65274
176	10270	65159
177	10309	64985
178	10348	64809
179	10401	64718
180	10460	64668
181	10502	64514
182	10556	64432
183	10603	64314
184	10659	64243
185	10704	64112
186	10760	64046
187	10830	64062
188	10845	63750
189	10891	63630
190	10945	63551
191	10992	63434
192	11046	63360
193	11098	63271
194	11148	63172
195	11182	62987
196	11231	62884
197	11270	62727
198	11322	62643
199	11360	62481
200	11406	62364
201	11446	62221
202	11490	62091
203	11539	61995
204	11591	61913
205	11637	61802
206	11667	61608
207	11720	61531
208	11764	61412
209	11803	61264
210	11861	61219
211	11906	61104
212	11935	60911
213	11976	60780
214	12035	60735
215	12082	60635
216	12118	60482
217	12157	60343
218	12202	60230
219	12226	60020
220	12262	59870
221	12299	59723
222	12351	59653
223	12386	59498
224	12420	59343
225	12476	59291
226	12507	59120
227	12548	59002
228	12597	58915
229	12632	58768
230	12680	58679
231	12706	58492
232	12755	58414
233	12802	58323
234	12853	58251
235	12916	58232
236	12960	58129
237	13010	58057
238	13052	57945
239	13099	57856
240	13161	57832
241	13214	57770
242	13245	57613
243	13274	57451
244	13288	57221
245	13334	57134
246	13380	57041
247	13429	56967
248	13475	56877
249	13494	56678
250	13545	56612
251	13596	56544
252	13644	56464
253	13690	56378
254	13743	56319
255	13785	56217
256	13835	56151
257	13876	56045
258	13926	55975
259	13987	55951
260	14045	55912
261	14097	55853
262	14124	55694
263	14171	55613
264	14232	55587
265	14272	55481
266	14308	55360
267	14353	55271
268	14388	55146
269	14401	54940
270	14415	54735
271	14453	54627
272	14481	54478
273	14535	54429
274	14571	54313
275	14607	54194
276	14662	54151
277	14714	54092
278	14746	53963
279	14785	53863
280	14816	53730
281	14840	53574
282	14894	53525
283	14929	53410
284	14996	53409
285	15051	53365
286	15087	53251
287	15134	53182
288	15178	53098
289	15216	52995
290	15275	52964
291	15311	52856
292	15337	52711
293	15368	52587
294	15407	52490
295	15446	52392
296	15493	52322
297	15546	52274
298	15589	52191
299	15648	52161
300	15698	52100
301	15735	52000
302	15786	51945
303	15824	51847
304	15853	51719
305	15896	51637
306	15944	51572
307	16012	51573
308	16067	51529
309	16122	51486
310	16175	51438
311	16233	51406
312	16311	51435
313	16392	51475
314	16439	51405
315	16527	51463
316	16637	51591
317	16717	51625
318	16811	51698
319	16905	51772
320	17005	51863
321	17111	51973
322	17201	52031
323	17289	52081
324	17348	52046
325	17425	52063
326	17508	52097
327	17569	52066
328	17629	52030
329	17673	51949
330	17718	51870
331	17824	51970
332	17930	52068
333	18006	52078
334	18081	52085
335	18148	52069
336	18218	52059
337	18296	52074
338	18380	52105
339	18478	52175
340	18520	52085
341	18584	52057
342	18611	51927
343	18699	51966
344	18810	52068
345	18895	52099
346	18983	52136
347	19021	52036
348	19100	52046
349	19225	52182
350	19307	52201
351	19337	52080
352	19371	51969
353	19413	51878
354	19459	51800
355	19484	51667
356	19537	51607
357	19552	51446
358	19603	51385
359	19654	51320
360	19702	51248
361	19742	51155
362	19793	51093
363	19843	51026
364	19878	50920
365	19911	50812
366	19960	50744
367	19999	50651
368	20040	50562
369	20069	50445
370	20118	50376
371	20174	50326
372	20222	50257
373	20272	50192
374	20348	50192
375	20381	50087
376	20436	50033
377	20490	49978
378	20542	49920
379	20582	49831
380	20623	49745
381	20672	49678
382	20716	49600
383	20773	49554
384	20811	49461
385	20839	49345
386	20890	49283
387	20934	49206
388	20985	49146
389	21035	49082
390	21091	49034
391	21141	48970
392	21202	48932
393	21249	48864
394	21293	48785
395	21358	48757
396	21421	48724
397	21464	48646
398	21512	48579
399	21556	48501
400	21598	48420
401	21632	48323
402	21678	48251
403	21730	48195
404	21785	48142
405	21846	48104
406	21895	48040
407	21938	47964
408	21987	47899
409	22041	47845
410	22101	47805
411	22153	47748
412	22209	47699
413	22265	47650
414	22316	47590
415	22369	47536
416	22438	47512
417	22492	47460
418	22548	47411
419	22593	47338
420	22647	47285
421	22699	47228
422	22750	47169
423	22808	47122
424	22864	47074
425	22911	47006
426	22946	46914
427	22999	46858
428	23057	46812
429	23113	46765
430	23171	46720
431	23224	46663
432	23275	46603
433	23331	46554
434	23378	46489
435	23442	46453
436	23497	46404
437	23556	46359
438	23612	46309
439	23671	46267
440	23711	46185
441	23753	46110
442	23803	46049
443	23850	45981
444	23898	45916
445	23926	45814
446	23967	45736
447	24023	45687
448	24067	45615
449	24114	45550
450	24164	45488
451	24206	45414
452	24265	45370
453	24311	45302
454	24359	45238
455	24411	45183
456	24458	45117
457	24525	45089
458	24580	45036
459	24637	44989
460	24703	44959
461	24757	44906
462	24812	44855
463	24860	44791
464	24905	44722
465	24955	44663
466	25004	44601
467	25048	44530
468	25100	44474
469	25146	44407
470	25194	44344
471	25248	44291
472	25300	44235
473	25343	44163
474	25389	44097
475	25449	44055
476	25497	43992
477	25569	43970
478	25631	43932
479	25682	43873
480	25739	43826
481	25780	43751
482	25832	43695
483	25885	43641
484	25933	43579
485	25992	43534
486	26047	43483
487	26089	43410
488	26144	43360
489	26191	43296
490	26244	43241
491	26295	43183
492	26341	43118
493	26389	43055
494	26447	43010
495	26490	42940
496	26547	42893
497	26615	42863
498	26675	42819
499	26723	42757
500	26775	42702
501	26820	42634
502	26852	42547
503	26903	42489
504	26959	42441
505	27005	42375
506	27067	42337
507	27124	42288
508	27164	42213
509	27214	42155
510	27262	42093
511	27324	42053
512	27367	41984
513	27427	41942
514	27469	41870
515	27526	41823
516	27583	41774
517	27658	41755
518	27711	41701
519	27756	41635
520	27809	41580
521	27862	41526
522	27911	41466
523	27958	41403
524	28008	41346
525	28062	41294
526	28109	41230
527	28176	41196
528	28227	41141
529	28286	41095
530	28346	41051
531	28383	40974
532	28434	40917
533	28480	40853
534	28519	40780
535	28573	40728
536	28625	40672
537	28710	40664
538	28772	40622
539	28805	40540
540	28851	40476
541	28913	40436
542	28961	40375
543	29004	40308
544	29055	40250
545	29106	40194
546	29160	40142
547	29208	40081
548	29255	40019
549	29332	39998
550	29419	39991
551	29501	39976
552	29553	39921
553	29623	39890
554	29743	39925
555	29830	39916
556	29904	39891
557	29990	39879
558	30059	39845
559	30153	39845
560	30231	39823
561	30315	39809
562	30423	39826
563	30519	39826
564	30584	39787
565	30657	39756
566	30726	39722
567	30801	39694
568	30923	39728
569	31009	39713
570	31082	39683
571	31175	39677
572	31259	39661
573	31367	39673
574	31444	39647
575	31539	39643
576	31617	39617
577	31697	39593
578	31794	39592
579	31881	39577
580	31975	39570
581	32058	39550
582	32138	39525
583	32226	39511
584	32339	39525
585	32394	39471
586	32450	39415
587	32499	39352
588	32550	39292
589	32610	39242
590	32657	39177
591	32704	39113
592	32746	39041
593	32793	38976
594	32838	38909
595	32898	38859
596	32946	38795
597	32994	38732
598	33057	38686
599	33111	38629
600	33161	38568
601	33213	38510
602	33266	38451
603	33320	38396
604	33368	38331
605	33422	38276
606	33474	38217
607	33518	38149
608	33568	38088
609	33606	38013
610	33649	37944
611	33695	37880
612	33723	37794
613	33768	37727
614	33811	37660
615	33858	37596
616	33896	37521
617	33949	37464
618	33998	37403
619	34047	37342
620	34105	37291
621	34168	37245
622	34219	37185
623	34269	37124
624	34323	37069
625	34380	37016
626	34424	36950
627	34469	36884
628	34521	36826
629	34568	36762
630	34615	36700
631	34665	36640
632	34704	36568
633	34766	36520
634	34821	36466
635	34866	36401
636	34916	36341
637	34963	36278
638	35010	36216
639	35055	36151
640	35105	36091
641	35184	36061
642	35230	35997
643	35273	35930
644	35303	35851
645	35353	35791
646	35404	35733
647	35442	35661
648	35490	35599
649	35528	35528
650	35580	35471
651	35633	35415
652	35682	35355
653	35729	35292
654	35778	35232
655	35813	35158
656	35872	35108
657	35912	35039
658	35951	34969
659	35983	34893
660	36026	34827
661	36075	34767
662	36109	34693
663	36182	34656
664	36238	34604
665	36282	34538
666	36338	34485
667	36379	34418
668	36428	34359
669	36482	34304
670	36534	34247
671	36590	34194
672	36648	34143
673	36694	34081
674	36745	34023
675	36793	33963
676	36838	33899
677	36872	33826
678	36922	33768
679	36966	33704
680	36999	33630
681	37045	33568
682	37098	33513
683	37149	33456
684	37219	33415
685	37270	33358
686	37330	33309
687	37376	33247
688	37429	33192
689	37457	33114
690	37513	33061
691	37554	32996
692	37588	32924
693	37639	32866
694	37681	32802
695	37739	32750
696	37791	32694
697	37844	32639
698	37904	32590
699	37953	32531
700	38003	32473
701	38047	32410
702	38093	32350
703	38145	32293
704	38191	32232
705	38238	32172
706	38303	32127
707	38347	32064
708	38387	31998
709	38441	31944
710	38487	31883
711	38536	31824
712	38582	31764
713	38620	31696
714	38677	31645
715	38710	31574
716	38755	31512
717	38810	31459
718	38857	31399
719	38907	31341
720	38947	31277
721	38992	31215
722	39049	31163
723	39104	31110
724	39139	31041
725	39170	30969
726	39209	30904
727	39269	30854
728	39330	30805
729	39382	30750
730	39413	30678
731	39470	30627
732	39511	30563
733	39561	30506
734	39612	30450
735	39657	30389
736	39712	30336
737	39748	30268
738	39801	30214
739	39846	30154
740	39901	30101
741	39950	30043
742	40007	29992
743	40057	29935
744	40106	29878
745	40155	29820
746	40192	29753
747	40245	29699
748	40293	29641
749	40360	29597
750	40420	29548
751	40469	29490
752	40515	29431
753	40569	29378
754	40616	29319
755	40654	29253
756	40696	29191
757	40755	29141
758	40811	29089
759	40854	29028
760	40899	28967
761	40942	28906
762	40995	28852
763	41027	28783
764	41091	28737
765	41153	28688
766	41216	28642
767	41265	28585
768	41309	28524
769	41355	28465
770	41410	28412
771	41473	28365
772	41506	28297
773	41543	28232
774	41591	28174
775	41649	28124
776	41698	28067
777	41750	28012
